"","TP_COR_RACA","TP_ESCOLA","TP_SEXO","Q005","Q006","CO_PROVA_CN","CO_PROVA_CH","CO_PROVA_LC","CO_PROVA_MT","NU_NOTA_CN","NU_NOTA_CH","NU_NOTA_LC","NU_NOTA_MT","NU_NOTA_REDACAO","SG_UF_RESIDENCIA"
"734",1,1,"F",2,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"735",1,1,"F",2,"C",394,397,402,405,487.2,514.9,523.5,473.1,520,"RS"
"736",1,1,"F",4,"B",394,395,399,405,515.5,550.4,465,645.2,740,"PR"
"737",3,1,"F",2,"C",393,397,402,406,567.2,526.9,501.1,485.7,440,"BA"
"738",1,1,"M",5,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"739",3,1,"M",3,"E",392,395,399,404,489.4,503.2,529.7,496.8,380,"ES"
"740",3,1,"M",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
"741",1,1,"M",1,"C",391,397,402,403,547.9,584.6,574.5,590.9,680,"MS"
"742",3,1,"M",6,"H",393,398,401,406,651.2,621.5,621.1,738.4,620,"RJ"
"743",3,1,"F",2,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"744",3,1,"M",3,"C",392,395,399,404,567.9,525.7,560.5,513.5,540,"BA"
"745",3,1,"F",4,"F",391,396,400,403,605.9,624.3,598.3,670.5,960,"MG"
"746",1,1,"M",3,"G",392,396,400,404,628.9,637.8,623.4,727.6,840,"PR"
"747",1,1,"M",4,"Q",392,397,402,404,542.1,572.6,541.9,687.1,0,"GO"
"748",3,1,"F",3,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"GO"
"749",3,1,"F",5,"E",392,396,400,404,474.2,549.4,479.5,415.9,700,"SP"
"750",3,1,"F",5,"G",393,395,399,406,576.6,626.9,602.5,674,740,"PE"
"751",3,1,"M",6,"C",392,398,401,404,636.1,646.9,602.9,653.9,660,"BA"
"752",1,1,"M",6,"H",394,397,402,405,395.2,571.4,530.3,508.8,580,"RS"
"753",3,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"754",1,1,"M",2,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"755",2,1,"F",4,"B",394,398,401,405,446.3,444.8,399.6,469.6,560,"CE"
"756",3,1,"F",4,"G",391,396,400,403,531.7,565.5,520.1,581.4,580,"MG"
"757",3,1,"M",3,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"758",2,2,"F",4,"B",393,396,400,406,391.3,559.7,528.6,550.6,500,"SP"
"759",2,1,"M",3,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"760",3,1,"F",4,"E",394,398,401,405,513.9,603,540.5,404.2,840,"ES"
"761",1,1,"M",2,"D",391,395,399,403,529.6,609.4,551,653.5,460,"MG"
"762",3,1,"F",3,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PI"
"763",3,1,"F",6,"D",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DF"
"764",1,1,"M",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"765",1,1,"F",3,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"766",3,1,"M",4,"C",392,397,402,404,456.2,435.7,472,497.1,440,"PB"
"767",1,1,"F",4,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"768",1,1,"M",2,"E",391,398,401,403,474.5,459.5,455.5,559.1,380,"RS"
"769",0,1,"M",4,"C",394,395,399,405,635.9,633.6,580.2,587,620,"GO"
"770",1,1,"F",4,"B",391,396,400,403,449.5,430.5,487.3,456.9,500,"ES"
"771",3,1,"F",5,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"772",1,1,"M",4,"N",392,398,401,404,676.2,704,604.5,899.9,960,"SP"
"773",3,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"774",2,1,"M",4,"G",393,398,401,406,473,616.7,540.3,558,540,"AL"
"775",1,1,"M",3,"D",392,398,401,404,592.6,586.1,551,496.4,560,"GO"
"776",3,1,"F",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"AM"
"777",3,1,"F",4,"I",393,397,402,406,588.1,648,598.4,548,720,"RJ"
"778",3,1,"M",6,"H",393,396,400,406,556,534.3,532.6,513.1,540,"PA"
"779",1,1,"F",4,"G",393,397,402,406,525.8,518.3,500.8,628.3,360,"SP"
"780",3,1,"M",5,"C",393,397,402,406,426.3,550.8,497.2,492.5,440,"PR"
"781",3,1,"F",3,"B",392,398,401,404,532.7,477.3,503,601.9,720,"BA"
"782",3,1,"M",4,"C",392,396,400,404,529.6,598.4,517.8,571.8,720,"BA"
"783",4,1,"F",4,"C",394,396,400,405,483,469.7,520.1,490.8,520,"GO"
"784",1,1,"F",2,"F",392,398,401,404,546.8,612.3,606.7,552.2,580,"RS"
"785",1,1,"M",3,"E",394,398,401,405,644,741.3,644.8,731.5,720,"PE"
"786",1,1,"F",1,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RS"
"787",3,1,"F",5,"B",393,398,401,406,525.3,558.7,550.7,502.2,740,"MG"
"788",3,1,"M",4,"G",393,398,401,406,490.3,547.5,549.2,680,440,"SP"
"789",3,1,"F",5,"C",393,397,402,406,503,528.7,565,535,640,"MG"
"790",1,2,"M",4,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"791",1,1,"M",5,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BA"
"792",3,1,"M",5,"A",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PA"
"793",3,1,"F",3,"I",392,397,402,404,592.1,605.6,551.5,471.5,600,"DF"
"794",3,1,"F",4,"C",392,397,402,404,534.2,433.3,508.1,474.3,500,"MG"
"795",1,1,"F",3,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SP"
"796",1,1,"F",4,"E",391,397,402,403,547.1,618.9,558.7,453.7,760,"PA"
"797",2,1,"M",6,"C",391,396,400,403,490.4,424.7,429.8,402.6,0,"SE"
"798",3,1,"M",4,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CE"
"799",1,1,"F",4,"G",NA,NA,NA,NA,NA,NA,NA,NA,NA,"PR"
"800",3,1,"M",3,"E",393,397,402,406,425.7,456.9,506.8,379.7,500,"GO"
"801",3,1,"M",2,"B",394,397,402,405,473.3,522.3,541.3,563,460,"SP"
"802",1,1,"F",4,"G",391,395,399,403,551.4,603.6,558.3,531,760,"BA"
"803",0,1,"F",6,"B",NA,NA,NA,NA,NA,NA,NA,NA,NA,"RJ"
"804",1,1,"F",2,"C",391,398,401,403,525.3,633.1,623,489.6,700,"PE"
