ID,LATITUDE,LONGITUDE,Mun/UF,MUNICIPIO,UF,Valor
224,-12.22,-38.2,ARACAS - BA,ARACAS,BA,75.207.070.593.688
225,-14.42,-41.46,ARACATU - BA,ARACATU,BA,11.675.236.105.095
226,-11.33,-38.96,ARACI - BA,ARACI,BA,33.439.399.545.642
227,-12.08,-38.49,ARAMARI - BA,ARAMARI,BA,60.924.813.205.527
228,-15.26,-39.41,ARATACA - BA,ARATACA,BA,79.261.922.070.507
229,-13.07,-39,ARATUIPE - BA,ARATUIPE,BA,54.451.547.535.045
230,-14.31,-39.32,AURELINO LEAL - BA,AURELINO LEAL,BA,10.010.911.139.048
231,-12.3,-44.53,BAIANOPOLIS - BA,BAIANOPOLIS,BA,8.586.804.848.356
232,-11.96,-40.16,BAIXA GRANDE - BA,BAIXA GRANDE,BA,12.804.481.745.192
233,-10.57,-38.61,BANZAE - BA,BANZAE,BA,67.735.456.840.143
234,-11.08,-43.14,BARRA - BA,BARRA,BA,25.164.818.908.315
235,-13.62,-41.32,BARRA DA ESTIVA - BA,BARRA DA ESTIVA,BA,13.985.219.748.217
236,-14.88,-40.57,BARRA DO CHOCA - BA,BARRA DO CHOCA,BA,27.041.443.648.105
237,-11.81,-42.05,BARRA DO MENDES - BA,BARRA DO MENDES,BA,88.784.839.471.099
238,-14.21,-39.6,BARRA DO ROCHA - BA,BARRA DO ROCHA,BA,55.092.360.346.919
239,-12.15,-44.99,BARREIRAS - BA,BARREIRAS,BA,6.848.993.698.253
240,-11.76,-41.91,BARRO ALTO - BA,BARRO ALTO,BA,79.292.613.417.789
241,-14.81,-39.47,BARRO PRETO - BA,BARRO PRETO,BA,43.077.390.456.702
242,-15.86,-38.88,BELMONTE - BA,BELMONTE,BA,12.324.820.116.268
243,-15.03,-41.26,BELO CAMPO - BA,BELO CAMPO,BA,96.658.667.602.063
244,-11.61,-38.8,BIRITINGA - BA,BIRITINGA,BA,95.581.335.440.144
245,-14.36,-40.2,BOA NOVA - BA,BOA NOVA,BA,10.630.129.499.887
246,-12.66,-40.6,BOA VISTA DO TUPIM - BA,BOA VISTA DO TUPIM,BA,11.253.181.244.511
247,-13.25,-43.41,BOM JESUS DA LAPA - BA,BOM JESUS DA LAPA,BA,33.383.979.694.728
248,-14.37,-40.5,BOM JESUS DA SERRA - BA,BOM JESUS DA SERRA,BA,75.873.963.001.649
249,-12.7,-41.82,BONINAL - BA,BONINAL,BA,85.910.865.299.182
250,-11.96,-41.26,BONITO - BA,BONITO,BA,97.719.363.402.942
251,-12.82,-42.73,BOQUIRA - BA,BOQUIRA,BA,12.732.718.736.038
252,-13.38,-42.52,BOTUPORA - BA,BOTUPORA,BA,817.855.768.336
253,-13.1,-39.79,BREJOES - BA,BREJOES,BA,10.171.296.580.398
254,-12.48,-43.96,BREJOLANDIA - BA,BREJOLANDIA,BA,66.415.649.639.962
255,-11.99,-42.62,BROTAS DE MACAUBAS - BA,BROTAS DE MACAUBAS,BA,98.001.143.058.018
256,-14.2,-41.66,BRUMADO - BA,BRUMADO,BA,38.667.268.115.999
257,-14.95,-39.3,BUERAREMA - BA,BUERAREMA,BA,12.281.682.587.298
258,-10.7,-43.63,BURITIRAMA - BA,BURITIRAMA,BA,10.192.627.516.346
259,-14.97,-40.4,CAATIBA - BA,CAATIBA,BA,97.073.774.551.068
260,-12.53,-39.19,CABACEIRAS DO PARAGUACU - BA,CABACEIRAS DO PARAGUACU,BA,93.308.501.428.392
261,-12.61,-38.95,CACHOEIRA - BA,CACHOEIRA,BA,1.840.708.891.381
262,-14.5,-42.22,CACULE - BA,CACULE,BA,13.951.142.057.646
263,-11.09,-40.43,CAEM - BA,CAEM,BA,11.931.995.762.024
264,-14.33,-40.91,CAETANOS - BA,CAETANOS,BA,78.263.963.204.753
265,-14.06,-42.47,CAETITE - BA,CAETITE,BA,27.426.158.370.254
266,-11.69,-41.46,CAFARNAUM - BA,CAFARNAUM,BA,90.626.011.885.261
267,-13.48,-39.04,CAIRU - BA,CAIRU,BA,57.258.184.546.645
268,-11.02,-40.3,CALDEIRAO GRANDE - BA,CALDEIRAO GRANDE,BA,10.717.897.260.117
269,-15.41,-39.49,CAMACAN - BA,CAMACAN,BA,21.735.559.562.202
270,-12.69,-38.32,CAMACARI - BA,CAMACARI,BA,83.746.120.079.254
271,-13.94,-39.1,CAMAMU - BA,CAMAMU,BA,20.919.865.229.343
272,-9.51,-43.01,CAMPO ALEGRE DE LOURDES - BA,CAMPO ALEGRE DE LOURDES,BA,15.798.554.638.488
273,-10.5,-40.32,CAMPO FORMOSO - BA,CAMPO FORMOSO,BA,38.883.075.019.361
274,-13.07,-44.2,CANAPOLIS - BA,CANAPOLIS,BA,60.381.485.418.275
275,-11.68,-41.76,CANARANA - BA,CANARANA,BA,1.300.521.367.059
